asin,afntotalquantity,subsource,sellerSku,AfnListingExists
"B09V1C6BH3","5","Transter AMA MX","US-S925-YEL-NEC-CHA-028-045-450-FBA","1"
"B09V1CZVLN","5","Transter AMA MX","US-S925-YEL-NEC-CHA-028-045-500-FBA","1"
"B09V1G69L7","0","Transter AMA MX","US-S925-WHI-NEC-CHA-027-028-410-FBA","1"
"B09V1GK6WK","0","Transter AMA MX","US-S925-WHI-NEC-CHA-027-028-450-FBA","1"
"B09V1FSW9B","0","Transter AMA MX","US-S925-WHI-NEC-CHA-027-028-500-FBA","1"
"B09V1G42B4","0","Transter AMA MX","US-S925-WHI-NEC-CHA-027-055-410-FBA","1"
"B09V1FJ22J","0","Transter AMA MX","US-S925-WHI-NEC-CHA-027-055-450-FBA","1"
"B09V1DFGF3","5","Transter AMA MX","US-S925-WHI-NEC-CHA-027-055-500-FBA","1"
"B09V1GMKKH","5","Transter AMA MX","US-S925-WHI-NEC-CHA-027-079-410-FBA","1"
"B09V1F4PJ4","5","Transter AMA MX","US-S925-WHI-NEC-CHA-027-079-450-FBA","1"
"B09V1G552M","5","Transter AMA MX","US-S925-WHI-NEC-CHA-027-079-500-FBA","1"
"B09V1H8DR7","9","Transter AMA MX","US-S925-WHI-NEC-CHA-028-030-410-FBA","1"
"B09V1F2NK4","4","Transter AMA MX","US-S925-WHI-NEC-CHA-028-030-450-FBA","1"
"B09V1GC4X7","5","Transter AMA MX","US-S925-WHI-NEC-CHA-028-030-500-FBA","1"
"B09V1C3H9W","5","Transter AMA MX","US-S925-WHI-NEC-CHA-028-045-410-FBA","1"
"B09V1F6XDZ","5","Transter AMA MX","US-S925-WHI-NEC-CHA-028-045-450-FBA","1"
"B09V1G8F8N","5","Transter AMA MX","US-S925-WHI-NEC-CHA-028-045-500-FBA","1"
"B09V1FFQ8D","0","Transter AMA MX","US-S925-YEL-NEC-CHA-027-028-410-FBA","1"
"B09V1GPRKF","0","Transter AMA MX","US-S925-YEL-NEC-CHA-027-028-450-FBA","1"
